x,world-population,terrestrial-biosphere-degradation,domesticated-land,coastal-nitrogen,tropical-forest-lost,shrimp-aquaculture,ocean-acidification,marine-fish-capture,stratospheric-ozone,surface-temperature,nitrous-dioxide,methane,carbon-dioxide,international-tourism,telecommunications,transportation,fertilizer-consumption,paper-production,water-use,large-dam,primary-energy-use,foreign-direct-investement,real-gdp,urban-population
0.284743,,,,,,,,,,,,,,,,,,,,,,,,0.027346
0.285173,,,,,,,,,,,,,0.107781,,,,,,,,,,,
0.289149,,,,,,,,,,,,,,,,,,,,,0.034899,,,
0.290596,,,0.213994,,,,,,,,,,,,,,,,,,,,,
0.291945,,,,,,,,,,,0.180064,,,,,,,,,,,,,
0.292876,,,,0.060673,,,,,,,,,,,,,,,,,,,,
0.293363,,,,,,,,,,,,0.118486,,,,,,,,,,,,
0.293467,,,,,0.077012,,,,,,,,,,,,,,,,,,,
0.295258,,0.119119,,,,,,,,,,,,,,,,,,,,,,
0.29905,0.119129,,,,,,,,,,,,,,,,,,,,,,,
0.299355,,,,,,,,,,,,,,,,,,,-0.002149,,,,,
0.299698,,,,,,,,,,,,,0.112847,,,,,,,,,,,
0.300545,,,,,,,,,,,,,,,,,,,,,,,,0.027388
0.304317,,,,,,,,,,,,,,,,,,,,,0.035567,,,
0.305757,,,0.217176,,,,,,,,,,,,,,,,,,,,,
0.307119,,,,,,,,,,,0.178219,,,,,,,,,,,,,
0.307891,,,,,,,,,,,,0.122295,,,,,,,,,,,,
0.308043,,,,0.06197,,,,,,,,,,,,,,,,,,,,
0.308631,,,,,0.079566,,,,,,,,,,,,,,,,,,,
0.311055,,0.121046,,,,,,,,,,,,,,,,,,,,,,
0.31421,0.12294,,,,,,,,,,,,,,,,,,,,,,,
0.314225,,,,,,,,,,,,,0.117284,,,,,,,,,,,
0.316346,,,,,,,,,,,,,,,,,,,,,,,,0.02743
0.320118,,,,,,,,,,,,,,,,,,,,,0.03561,,,
0.320838,,,,,,,,,,0.000422,,,,,,,,,,,,,,
0.32092,,,0.21973,,,,,,,,,,,,,,,,,,,,,
0.322295,,,,,,,,,,,0.175746,,,,,,,,,,,,,
0.323208,,,,0.063895,,,,,,,,,,,,,,,,,,,,
0.323693,,,,,,,,,,,,0.122337,,,,,,,,,,,,
0.323794,,,,,0.08212,,,,,,,,,,,,,,,,,,,
0.32622,,0.122972,,,,,,,,,,,,,,,,,,,,,,
0.328753,,,,,,,,,,,,,0.121093,,,,,,,,,,,
0.329371,0.126751,,,,,,,,,,,,,,,,,,,,,,,
0.332148,,,,,,,,,,,,,,,,,,,,,,,,0.027472
0.335917,,,,,,,,,,,,,,,,,,,,,0.036908,,,
0.336082,,,0.222912,,,,,,,,,,,,,,,,,,,,,
0.338096,,,,,,,,,,,0.175788,,,,,,,,,,,,,
0.338853,,,,,,,,,,,,0.126147,,,,,,,,,,,,
0.338956,,,,,0.085302,,,,,,,,,,,,,,,,,,,
0.339006,,,,0.065194,,,,,,,,,,,,,,,,,,,,
0.341386,,0.124269,,,,,,,,,,,,,,,,,,,,,,
0.344532,0.129933,,,,,,,,,,,,,,,,,,,,,,,
0.344554,,,,,,,,,,,,,0.121136,,,,,,,,,,,
0.345398,,,,,,,,,,,,,,,,,,,,,0.036934,,,
0.347949,,,,,,,,,,,,,,,,,,,,,,,,0.027514
0.351244,,,0.226094,,,,,,,,,,,,,,,,,,,,,
0.353277,,,,,,,,,,,0.17143,,,,,,,,,,,,,
0.35412,,,,,0.087228,,,,,,,,,,,,,,,,,,,
0.354171,,,,0.06712,,,,,,,,,,,,,,,,,,,,
0.354655,,,,,,,,,,,,0.126189,,,,,,,,,,,,
0.357183,,0.126196,,,,,,,,,,,,,,,,,,,,,,
0.357498,,,,,,,0.000519,,,,,,,,,,,,,,,,,
0.3597,0.130602,,,,,,,,,,,,,,,,,,,,,,,
0.360356,,,,,,,,,,,,,0.121178,,,,,,,,,,,
0.361198,,,,,,,,,,,,,,,,,,,,,0.037604,,,
0.363751,,,,,,,,,,,,,,,,,,,,,,,,0.027557
0.366405,,,0.229277,,,,,,,,,,,,,,,,,,,,,
0.369079,,,,,,,,,,,0.171472,,,,,,,,,,,,,
0.369282,,,,,0.09041,,,,,,,,,,,,,,,,,,,
0.369969,,,,0.068418,,,,,,,,,,,,,,,,,,,,
0.370456,,,,,,,,,,,,0.126232,,,,,,,,,,,,
0.372348,,0.128122,,,,,,,,,,,,,,,,,,,,,,
0.375502,0.130644,,,,,,,,,,,,,,,,,,,,,,,
0.376157,,,,,,,,,,,,,0.12122,,,,,,,,,,,
0.376998,,,,,,,,,,,,,,,,,,,,,0.038274,,,
0.378351,,,,,,,,,,,,,,,,,,,,0.00246,,,,
0.379553,,,,,,,,,,,,,,,,,,,,,,,,0.027599
0.381567,,,0.232459,,,,,,,,,,,,,,,,,,,,,
0.384445,,,,,0.092964,,,,,,,,,,,,,,,,,,,
0.38488,,,,,,,,,,,0.171514,,,,,,,,,,,,,
0.385134,,,,0.070344,,,,,,,,,,,,,,,,,,,,
0.386258,,,,,,,,,,,,0.126274,,,,,,,,,,,,
0.388146,,0.129421,,,,,,,,,,,,,,,,,,,,,,
0.391303,0.130686,,,,,,,,,,,,,,,,,,,,,,,
0.391336,,,,,,,,,,,,,0.11749,,,,,,,,,,,
0.392165,,,,,,,,,,,,,,,,,,,,,0.038943,,,
0.394151,,,,,,,,,,,,,,,,,,,,0.00313,,,,
0.395208,,,,,,,,,,0.08608,,,,,,,,,,,,,,
0.395354,,,,,,,,,,,,,,,,,,,,,,,,0.027641
0.396729,,,0.235641,,,,,,,,,,,,,,,,,,,,,
0.399607,,,,,0.096146,,,,,,,,,,,,,,,,,,,
0.400299,,,,0.072269,,,,,,,,,,,,,,,,,,,,
0.400682,,,,,,,,,,,0.171556,,,,,,,,,,,,,
0.401419,,,,,,,,,,,,0.129456,,,,,,,,,,,,
0.403311,,0.131346,,,,,,,,,,,,,,,,,,,,,,
0.405488,,,,,,,0.019498,,,,,,,,,,,,,,,,,
0.407103,0.131356,,,,,,,,,,,,,,,,,,,,,,,
0.40714,,,,,,,,,,,,,0.116903,,,,,,,,,,,
0.407965,,,,,,,,,,,,,,,,,,,,,0.039614,,,
0.409953,,,,,,,,,,,,,,,,,,,,0.003172,,,,
0.411154,,,,,,,,,,,,,,,,,,,,,,,,0.028311
0.41189,,,0.238823,,,,,,,,,,,,,,,,,,,,,
0.41477,,,,,0.0987,,,,,,,,,,,,,,,,,,,
0.415951,,,,,,,,,,,,0.132008,,,,,,,,,,,,
0.416097,,,,0.073568,,,,,,,,,,,,,,,,,,,,
0.416483,,,,,,,,,,,0.171598,,,,,,,,,,,,,
0.418474,,0.1339,,,,,,,,,,,,,,,,,,,,,,
0.418709,,,,,,,,,,,,,,,,,,,,,0.040271,,,
0.421688,,,,,,,,,,,,,0.112543,,,,,,,,,,,
0.422263,0.135167,,,,,,,,,,,,,,,,,,,,,,,
0.425755,,,,,,,,,,,,,,,,,,,,0.003214,,,,
0.426319,,,,,,,,,,,,,,,,,,,,,,,,0.030237
0.427052,,,0.242006,,,,,,,,,,,,,,,,,,,,,
0.429933,,,,,0.101254,,,,,,,,,,,,,,,,,,,
0.431114,,,,,,,,,,,,0.134562,,,,,,,,,,,,
0.431262,,,,0.075494,,,,,,,,,,,,,,,,,,,,
0.432285,,,,,,,,,,,0.17164,,,,,,,,,,,,,
0.434273,,0.135199,,,,,,,,,,,,,,,,,,,,,,
0.434509,,,,,,,,,,,,,,,,,,,,,0.040941,,,
0.436216,,,,,,,,,,,,,0.116352,,,,,,,,,,,
0.437425,0.138349,,,,,,,,,,,,,,,,,,,,,,,
0.441485,,,,,,,,,,,,,,,,,,,,,,,,0.031534
0.441556,,,,,,,,,,,,,,,,,,,,0.003256,,,,
0.442212,,,0.245816,,,,,,,,,,,,,,,,,,,,,
0.445095,,,,,0.104436,,,,,,,,,,,,,,,,,,,
0.445642,,,,,,,,,,,,0.138371,,,,,,,,,,,,
0.447059,,,,0.077421,,,,,,,,,,,,,,,,,,,,
0.448086,,,,,,,,,,,0.171682,,,,,,,,,,,,,
0.449437,,0.137124,,,,,,,,,,,,,,,,,,,,,,
0.450309,,,,,,,,,,,,,,,,,,,,,0.041611,,,
0.450746,,,,,,,,,,,,,0.119533,,,,,,,,,,,
0.452585,0.14216,,,,,,,,,,,,,,,,,,,,,,,
0.457284,,,,,,,,,,,,,,,,,,,,,,,,0.032832
0.457358,,,,,,,,,,,,,,,,,,,,0.003298,,,,
0.457374,,,0.248999,,,,,,,,,,,,,,,,,,,,,
0.457984,,,,,,,,,,,,,,,,,,,,,,,0.005814,
0.459479,,,,,,,,,,0.165428,,,,,,,,,,,,,,
0.46017,,,,,,,,,,,,0.14218,,,,,,,,,,,,
0.460256,,,,,0.107619,,,,,,,,,,,,,,,,,,,
0.462224,,,,0.079346,,,,,,,,,,,,,,,,,,,,
0.462633,,,,,,,,,,,0.16795,,,,,,,,,,,,,
0.464602,,0.13905,,,,,,,,,,,,,,,,,,,,,,
0.465477,,,,,,,,,,,,,,,,,,,,,0.04228,,,
0.466542,,,,,,,,,,,,,0.12146,,,,,,,,,,,
0.467747,0.145342,,,,,,,,,,,,,,,,,,,,,,,
0.472535,,,0.252181,,,,,,,,,,,,,,,,,,,,,
0.473084,,,,,,,,,,,,,,,,,,,,,,,,0.033503
0.473159,,,,,,,,,,,,,,,,,,,,0.00334,,,,
0.473785,,,,,,,,,,,,,,,,,,,,,,,0.005856,
0.475418,,,,,0.110801,,,,,,,,,,,,,,,,,,,
0.475971,,,,,,,,,,,,0.142222,,,,,,,,,,,,
0.476551,,,,,,,,,,,0.16296,,,,,,,,,,,,,
0.477388,,,,0.081272,,,,,,,,,,,,,,,,,,,,
0.477477,,,,,,,0.046082,,,,,,,,,,,,,,,,,
0.479765,,0.141604,,,,,,,,,,,,,,,,,,,,,,
0.481275,,,,,,,,,,,,,,,,,,,,,0.043579,,,
0.482344,,,,,,,,,,,,,0.121502,,,,,,,,,,,
0.482911,0.147268,,,,,,,,,,,,,,,,,,,,,,,
0.487695,,,0.255992,,,,,,,,,,,,,,,,,,,,,
0.488885,,,,,,,,,,,,,,,,,,,,,,,,0.033545
0.488961,,,,,,,,,,,,,,,,,,,,0.003382,,,,
0.489587,,,,,,,,,,,,,,,,,,,,,,,0.005898,
0.490469,,,,,,,,,,,0.15797,,,,,,,,,,,,,
0.490499,,,,,,,,,,,,0.146031,,,,,,,,,,,,
0.49058,,,,,0.113983,,,,,,,,,,,,,,,,,,,
0.492553,,,,0.083197,,,,,,,,,,,,,,,,,,,,
0.495562,,0.143531,,,,,,,,,,,,,,,,,,,,,,
