x,world-population,terrestrial-biosphere-degradation,domesticated-land,coastal-nitrogen,tropical-forest-lost,shrimp-aquaculture,ocean-acidification,marine-fish-capture,stratospheric-ozone,surface-temperature,nitrous-dioxide,methane,carbon-dioxide,international-tourism,telecommunications,transportation,fertilizer-consumption,paper-production,water-use,large-dam,primary-energy-use,foreign-direct-investement,real-gdp,urban-population,world-population-smoothed,terrestrial-biosphere-degradation-smoothed,domesticated-land-smoothed,coastal-nitrogen-smoothed,tropical-forest-lost-smoothed,shrimp-aquaculture-smoothed,ocean-acidification-smoothed,marine-fish-capture-smoothed,stratospheric-ozone-smoothed,surface-temperature-smoothed,nitrous-dioxide-smoothed,methane-smoothed,carbon-dioxide-smoothed,international-tourism-smoothed,telecommunications-smoothed,transportation-smoothed,fertilizer-consumption-smoothed,paper-production-smoothed,water-use-smoothed,large-dam-smoothed,primary-energy-use-smoothed,foreign-direct-investement-smoothed,real-gdp-smoothed,urban-population-smoothed
0.203,,0.109448,,,,,,,,,,,,,,,,,,,,,,,,0.109574514950061,,,,,,,,,,,,,,,,,,,,,,
0.20615,0.113855,,,,,,,,,,,,,,,,,,,,,,,,0.112496145996564,,,,,,,,,,,,,,,,,,,,,,,
0.207013,,,,,,,,,,,,,,,,,,,,,,,,0.021484,,,,,,,,,,,,,,,,,,,,,,,,0.0227263138801793
0.210779,,,,,,,,,,,,,,,,,,,,,0.032177,,,,,,,,,,,,,,,,,,,,,,,,0.0324908395811663,,,
0.214447,,,,,,,,,,,,,0.081829,,,,,,,,,,,,,,,,,,,,,,,,0.0859899422230915,,,,,,,,,,,
0.214783,,,0.199967,,,,,,,,,,,,,,,,,,,,,,,,0.200000412719948,,,,,,,,,,,,,,,,,,,,,
0.215785,,,,0.052299,,,,,,,,,,,,,,,,,,,,,,,,0.0524575455922266,,,,,,,,,,,,,,,,,,,,
0.216072,,,,,,,,,,,0.189917,,,,,,,,,,,,,,,,,,,,,,,,0.194190377421741,,,,,,,,,,,,,
0.216381,,,,,0.066753,,,,,,,,,,,,,,,,,,,,,,,,0.0667842301386386,,,,,,,,,,,,,,,,,,,
0.216903,,,,,,,,,,,,0.110742,,,,,,,,,,,,,,,,,,,,,,,,0.110804368887478,,,,,,,,,,,,
0.218167,,0.110745,,,,,,,,,,,,,,,,,,,,,,,,0.111060660712912,,,,,,,,,,,,,,,,,,,,,,
0.221315,0.115781,,,,,,,,,,,,,,,,,,,,,,,,0.114123894807399,,,,,,,,,,,,,,,,,,,,,,,
0.222815,,,,,,,,,,,,,,,,,,,,,,,,0.021526,,,,,,,,,,,,,,,,,,,,,,,,0.0231903761004349
0.225947,,,,,,,,,,,,,,,,,,,,,0.032845,,,,,,,,,,,,,,,,,,,,,,,,0.032905558994021,,,
0.227704,,,,,,,,,,,,,0.088148,,,,,,,,,,,,,,,,,,,,,,,,0.089346228337007,,,,,,,,,,,
0.229946,,,0.202521,,,,,,,,,,,,,,,,,,,,,,,,0.202745729556744,,,,,,,,,,,,,,,,,,,,,
0.230619,,,,,,,,,,,0.186185,,,,,,,,,,,,,,,,,,,,,,,,0.190553587231706,,,,,,,,,,,,,
0.23095,,,,0.054224,,,,,,,,,,,,,,,,,,,,,,,,0.0540271222490309,,,,,,,,,,,,,,,,,,,,
0.231546,,,,,0.068679,,,,,,,,,,,,,,,,,,,,,,,,0.0687638279410484,,,,,,,,,,,,,,,,,,,
0.232706,,,,,,,,,,,,0.110155,,,,,,,,,,,,,,,,,,,,,,,,0.112310544215222,,,,,,,,,,,,
0.233964,,0.112672,,,,,,,,,,,,,,,,,,,,,,,,0.112647336521766,,,,,,,,,,,,,,,,,,,,,,
0.236481,0.117078,,,,,,,,,,,,,,,,,,,,,,,,0.115648740562657,,,,,,,,,,,,,,,,,,,,,,,
0.238613,,,,,,,,,,,,,,,,,,,,,,,,0.022825,,,,,,,,,,,,,,,,,,,,,,,,0.023659833992042
0.241747,,,,,,,,,,,,,,,,,,,,,0.033516,,,,,,,,,,,,,,,,,,,,,,,,0.0333554497852348,,,
0.242228,,,,,,,,,,,,,0.093843,,,,,,,,,,,,,,,,,,,,,,,,0.0934187084032203,,,,,,,,,,,
0.245108,,,0.205704,,,,,,,,,,,,,,,,,,,,,,,,0.205524038211095,,,,,,,,,,,,,,,,,,,,,
0.245793,,,,,,,,,,,0.18434,,,,,,,,,,,,,,,,,,,,,,,,0.186647244262778,,,,,,,,,,,,,
0.246748,,,,0.055523,,,,,,,,,,,,,,,,,,,,,,,,0.0556694684038819,,,,,,,,,,,,,,,,,,,,
0.247341,,,,,0.071234,,,,,,,,,,,,,,,,,,,,,,,,0.07087770652847,,,,,,,,,,,,,,,,,,,
0.248507,,,,,,,,,,,,0.110197,,,,,,,,,,,,,,,,,,,,,,,,0.11387582022294,,,,,,,,,,,,
0.24913,,0.113969,,,,,,,,,,,,,,,,,,,,,,,,0.114202161787411,,,,,,,,,,,,,,,,,,,,,,
0.252282,0.11712,,,,,,,,,,,,,,,,,,,,,,,,0.117175598619147,,,,,,,,,,,,,,,,,,,,,,,
0.25378,,,,,,,,,,,,,,,,,,,,,,,,0.024122,,,,,,,,,,,,,,,,,,,,,,,,0.0241451900457536
0.256754,,,,,,,,,,,,,0.09828,,,,,,,,,,,,,,,,,,,,,,,,0.0981712482577525,,,,,,,,,,,
0.257549,,,,,,,,,,,,,,,,,,,,,0.033558,,,,,,,,,,,,,,,,,,,,,,,,0.0338364674183536,,,
0.260271,,,0.208257,,,,,,,,,,,,,,,,,,,,,,,,0.20834945857624,,,,,,,,,,,,,,,,,,,,,
0.260967,,,,,,,,,,,0.182495,,,,,,,,,,,,,,,,,,,,,,,,0.183631528640018,,,,,,,,,,,,,
0.261913,,,,0.057448,,,,,,,,,,,,,,,,,,,,,,,,0.0572435970306505,,,,,,,,,,,,,,,,,,,,
0.262506,,,,,0.07316,,,,,,,,,,,,,,,,,,,,,,,,0.0730173263590058,,,,,,,,,,,,,,,,,,,
0.264309,,,,,,,,,,,,0.110239,,,,,,,,,,,,,,,,,,,,,,,,0.11551795356263,,,,,,,,,,,,
0.264927,,0.115897,,,,,,,,,,,,,,,,,,,,,,,,0.115848477882744,,,,,,,,,,,,,,,,,,,,,,
0.268084,0.117162,,,,,,,,,,,,,,,,,,,,,,,,0.118704309981238,,,,,,,,,,,,,,,,,,,,,,,
0.269578,,,,,,,,,,,,,,,,,,,,,,,,0.025421,,,,,,,,,,,,,,,,,,,,,,,,0.0247144852673129
0.270645,,,,,,,,,,,,,0.103972,,,,,,,,,,,,,,,,,,,,,,,,0.102590835348815,,,,,,,,,,,
0.273349,,,,,,,,,,,,,,,,,,,,,0.034228,,,,,,,,,,,,,,,,,,,,,,,,0.0343469484470412,,,
0.275432,,,0.21144,,,,,,,,,,,,,,,,,,,,,,,,0.211206688357888,,,,,,,,,,,,,,,,,,,,,
0.276143,,,,,,,,,,,0.180022,,,,,,,,,,,,,,,,,,,,,,,,0.181542469646814,,,,,,,,,,,,,
0.27708,,,,0.058745,,,,,,,,,,,,,,,,,,,,,,,,0.0588142893292798,,,,,,,,,,,,,,,,,,,,
0.277671,,,,,0.075085,,,,,,,,,,,,,,,,,,,,,,,,0.0752357899513786,,,,,,,,,,,,,,,,,,,
0.278835,,,,,,,,,,,,0.114677,,,,,,,,,,,,,,,,,,,,,,,,0.116975671421605,,,,,,,,,,,,
